id,saleprice
135,169102.88279137207
1167,161651.35189623584
294,218758.03106899816
1776,196522.98606002255
540,165581.53061200754
1717,235594.14285132295
2303,126265.86363087682
116,184851.27499256624
127,152016.8134963109
1371,124324.93812599024
1014,145838.21260874838
1507,104039.2357044941
702,130805.46178697585
750,144112.60910482303
261,141510.1543534327
1559,71250.22891450897
577,216537.2557167881
2812,194281.5857262094
2080,147424.7174070912
1368,111891.75973372963
2376,128883.28872016896
659,122269.15413250285
1235,136715.6996636649
332,80139.81227343107
1917,140303.46960337472
2094,246000.56914465153
1460,251920.42898024834
1471,229502.35057537313
1509,119480.7939196207
1922,128112.23992022843
433,423401.77816953766
460,265006.6225467515
1116,243581.3649598545
1137,160381.31605032118
53,174821.70262732756
2354,263324.784142288
1475,196930.9500724942
1761,392570.25038461096
842,143857.2077678815
2739,187589.2535527695
2509,152194.5167635926
1007,199911.6982837475
2610,173635.34991190973
1952,93739.40083610968
2719,169152.37047368614
2921,86262.87245695696
1966,151760.23148428905
292,129868.41143751412
1204,190334.67347437012
1829,250743.04483552792
2419,198254.8076918497
391,163691.7444984052
798,110482.39439402783
481,211661.96157913844
193,191157.299867655
555,128273.43541743729
899,74136.41877628525
2357,190884.1863062275
328,143819.04861225496
1356,108978.45602109107
1154,109962.19726035417
1730,199325.97459728934
2249,171247.13822133717
1119,294278.8641525215
2856,142290.20088130995
1394,124304.38346456815
2587,119852.59556898632
61,322876.3096823189
2661,177778.55307387994
2711,115177.92340613008
1147,182754.74613936705
757,128749.98512232197
2623,96843.11469987645
2378,146430.83605943486
1413,134385.5726165141
1722,235065.81638334668
1112,249358.6671985754
1623,195635.24700123505
1201,203010.68130604873
1513,119598.45322278806
957,335075.71183256886
1171,239977.17264521413
1145,190302.5172122387
2726,215690.94604678772
703,145499.97603071283
760,119912.25474165945
1964,159284.2011864935
2512,185490.33133126883
159,120457.94975133397
1281,176679.369386447
468,203595.6698208807
290,127386.38760755157
665,106257.17032424884
1463,244780.41356211153
1792,213919.97360970898
923,162292.54589155503
500,285086.15200069256
1408,166476.07879817515
331,84405.3792808491
170,152897.62812777868
2192,100337.37960880135
2571,216498.8277201318
2314,175401.42604340435
2647,86219.98772877178
422,392016.47203902405
2457,329897.12717248633
1838,201556.45541418812
2805,246176.59625309
1645,155638.0750706566
1711,307300.9438147948
2825,244905.33606975037
322,313191.9920194752
2103,263042.92237749626
342,116969.16918514439
600,129264.20235446726
488,181113.23883907316
1725,292396.9403707772
2246,297379.286727773
2847,143706.39107323604
806,227175.96266376122
530,238451.65861130747
963,189956.89325024927
2678,113458.05675793986
171,92069.73424569036
2401,397838.87277250877
805,226066.23812873536
2259,239011.3123098192
1748,200795.51511467894
1361,132541.72517263348
1677,109233.02890515872
1406,174908.45157593075
2322,232151.88848226645
688,147977.55591369304
143,136668.0262078382
804,207306.27762381668
1214,136124.30217529656
2828,147151.55427273843
1999,187667.57006237537
2467,202456.29018689255
2665,155505.6935759636
1538,293096.08774391876
398,123187.17537323195
2822,148105.51464169577
2157,152701.71283873756
1856,195071.5030984182
1269,100773.23754083771
2570,108799.88389118116
2320,248690.39534039778
1517,131814.85988511582
2304,122917.615220701
1312,97714.92130622176
2012,135479.878399604
506,259266.95246490845
2865,197771.02903234906
2367,96837.60154114437
554,97363.32685420549
238,132743.32072314614
1954,109066.8408804576
2488,115501.21766729085
2291,87101.10194781236
1969,106050.87055242634
2725,171870.76017448836
1482,161323.63349177325
2763,206890.88279472382
503,270973.6578312982
1584,252828.60059668138
1531,172060.63333618105
2210,184314.65138499727
459,310075.1769209602
556,130268.22952441883
1347,126043.72677612834
1290,74538.49520813486
1388,99466.15081969235
1571,290688.048374886
2754,213755.2874512336
765,138410.10445074266
2494,124549.029719385
2870,224063.38743900607
7,239096.21691055998
1114,240133.59798194352
2418,270614.1704203203
291,126934.95213287641
18,345723.46566740185
39,358428.5042403687
1001,264705.9743726842
2442,228014.805040218
616,121250.3433702032
2680,60377.3900576827
1414,128529.68788411422
289,156155.4964588491
40,264836.35209610965
860,143667.56031701833
409,131412.3118789082
673,149504.7568653727
2427,185891.7613886569
2036,199773.5646102728
2564,143418.71265788
642,164389.35720775713
1008,179097.32833144255
1908,123900.00593396567
2519,186584.31374305848
1369,89647.56910918784
2855,149580.77512066887
712,86139.1774604809
1943,121276.93090931894
1958,128218.62357636887
107,164893.01977789303
2295,209737.6274182289
704,95492.36519417983
676,149777.81341483298
259,185449.71743826056
93,281000.4652807944
106,238136.3672683944
2315,181107.24405873558
1050,105764.45312512042
1095,219394.30774097604
2709,162831.5809443307
758,121929.88970954155
1496,162807.1660578117
2370,109761.2128156227
2458,284496.49265392404
2733,149990.8803780113
161,219253.11164423422
726,155162.1106290114
845,211845.14655923872
947,256022.69240000355
2232,115438.82639200526
2563,126404.11935217085
2299,141720.4098773437
211,89787.83259038744
605,158848.67351633077
1478,197628.57950307624
2247,278724.55514230515
2274,222075.2890823039
2869,219989.91805903843
967,211017.85417533657
2656,126438.98510891024
667,199486.27211174098
1042,105358.92452954769
2023,153321.6113191993
2447,348698.15050985065
2055,128277.31370602068
2275,292834.042246668
2204,173275.97804011178
1563,285313.5167178852
483,242939.80321160814
796,139134.70741774124
1526,157946.51271674654
2042,132322.30188873445
442,323823.2858088702
1693,325264.3528708551
1468,221160.44036018156
1430,199795.11554139826
2605,159290.6103481004
1529,182979.040950218
335,143935.83059192367
1287,115723.49772824565
31,97116.8623291816
1785,329223.26214677095
82,165906.3905396835
2620,136772.7363555084
252,186254.7750861829
721,66873.2090295493
2165,201406.15201166036
2316,204502.2259487665
775,142708.91626358376
1558,112201.30191240276
17,202774.3164104689
1022,228623.50636377116
925,136213.004024149
438,287014.0933728674
1270,139990.82093070075
1272,128096.9967812053
215,139655.52678488888
266,232474.98947193864
2402,294734.0169327215
1250,122519.4832853229
1984,104495.66526678368
1279,139277.8287999595
377,233243.93708188715
1252,123348.93808028116
2156,246044.9723704461
499,322031.3181359542
1374,136835.72245476412
2898,219214.4046550958
401,109394.36531113692
2721,161417.5959822055
2078,247874.8160451515
2589,123803.25523287943
1946,223480.97938649872
1334,118195.14439318428
2781,231345.56220255085
431,370588.86813283834
576,189664.09807692666
1474,210394.71623869496
2254,135733.9060796483
2155,276601.9603984346
885,104543.17879737914
643,146805.88282635817
1944,126916.21643812057
480,207255.302372003
2845,117467.80619824049
2387,322939.3273687896
2407,231473.89576881207
2527,180446.75200988736
2514,153872.5187329637
629,150689.6122137699
80,202344.3514203364
1876,145355.2132111346
1546,110188.60552643119
2518,191629.64863176533
2347,161951.7492506465
783,217788.4668705894
1322,57220.65834568211
194,92327.07457946982
1770,305086.8720836267
2143,161265.92528726193
1229,224567.5026790376
511,272501.26260530466
46,249799.90198996937
1348,152211.6007891262
2465,202564.4597959022
387,230918.60326237782
873,226722.35611564585
1918,110945.04883795224
2764,230185.18076342868
2184,120227.11977605868
934,145230.347009927
1920,124715.21081300576
2631,158798.2029821269
1768,417287.35741953144
2040,118223.56551144677
1749,223401.43461612228
834,259560.29735111498
1457,224039.41362961684
79,116143.21647258822
2302,122857.31047552775
1817,154974.38921521738
2755,241882.84360031184
359,183186.95997074404
2059,114260.57997715067
2092,229812.7784271924
2516,230308.2234361396
150,99826.55186682288
1656,146390.99745178263
83,93547.00101997936
2411,200844.75954608546
795,85587.19496199035
2312,214943.45947259697
2917,104158.97076455501
1624,173048.70292894586
2215,266271.22949281114
1211,148963.01897528517
1485,175791.41981864467
1024,195336.33329782638
570,209767.58617126656
2874,145999.3022593344
700,146659.57411470183
2756,208955.0519112881
2022,159754.67181192676
583,221460.6173934503
2392,363175.0655417684
2424,185675.3324058101
212,101989.13372615402
736,123049.78076274373
1610,182606.2401310054
890,117078.92058580836
467,198713.4492110465
578,199941.23879379683
1747,190368.45117837164
1149,160719.73421704196
2758,247175.92504483013
857,150315.15309968079
2219,244232.62736069635
733,88976.7200302496
2909,125631.22963055875
1798,255765.56673530152
235,141669.59782077238
2366,130435.86104917419
1027,135196.3886337648
1195,147226.57719082895
1303,60353.102840188105
148,186082.94776858273
608,165729.484845242
2515,211024.28253251186
821,272064.6587949131
2500,265393.8443017889
745,104653.16884115561
741,119466.49451394784
1611,137921.7826621115
2532,137600.87071788262
1081,230599.57310873736
1692,389750.50370620436
2520,176644.9144353638
276,101330.57224028437
1992,124482.14717800965
663,46543.251217089855
418,113209.84877713872
1733,208050.97158971205
2359,150803.96963289723
253,191513.5879468404
1518,181209.48865148996
2035,144646.51404548308
2919,76262.42056103435
1540,222043.15279617568
2120,153602.41856700042
1674,182151.80560450922
256,144251.07617375694
2361,110215.72198626278
978,86574.97655187838
2280,141064.13581845415
2095,225720.18906314668
1709,331800.0346977891
2801,233051.9117915691
1246,123354.90534520152
2373,94537.21256015262
1055,303424.7410233295
2017,128478.97666089766
1099,295478.40315815795
1344,75815.8059503363
835,214770.2839135683
1117,222611.754292189
2043,98677.21946029355
2085,128823.93273310363
410,147349.25292870516
2650,95682.70487042445
2867,173639.5744534641
1668,112181.83830382169
1161,167387.6460157384
2122,190710.24099378055
2539,148590.37176846937
1047,136511.79123367407
1445,143762.07915679234
541,127248.47541554854
569,231035.36251300556
1276,130598.39925283761
918,151064.51960435652
326,180248.2694337959
1936,132388.4254473671
895,110883.8102569882
257,148847.18618765447
1241,171529.8766947169
1545,115253.74260506476
1189,179902.20557636593
270,151539.97915622295
2066,201208.6571504265
693,109084.49496749407
1259,155358.5594272208
2916,171441.09892423547
2321,304520.84204141394
1977,92437.1369594383
1895,148553.45626795155
1240,174130.79841795558
85,149139.00658697623
1823,121974.54371803472
825,279283.5592340719
110,231709.7658860605
697,126705.76452577408
2297,106538.66497338211
1231,138088.18936005695
1355,133516.40727467925
968,318520.8903229158
584,220568.68596759572
1315,130866.33538315263
1606,143742.47014241607
206,95230.76508129704
1685,345625.3823217039
2016,132413.97161631926
869,196383.36700883304
2135,124758.60479687262
2346,191144.80975511458
2430,239657.03634078885
2198,85130.81234309057
2652,123541.40600178743
27,124052.08796678315
241,171938.08962701014
906,142185.77751457068
1506,117638.79442161517
2098,336856.9735310752
1435,221270.3534103311
2213,154087.23023579575
1274,126321.830994491
743,25114.500127106527
1737,204133.72559909686
2797,265615.416726855
2185,46815.35110804366
58,176472.5864552458
830,207664.2441198566
808,105247.04272654807
680,142086.14184991745
1153,97571.98861691321
1291,148219.4727964353
1818,147949.0982843499
2161,195972.92950719668
1883,116348.21367624617
350,320944.5045300279
2473,143396.2286496134
295,188025.09417114416
293,187974.01659527438
859,139497.56080182898
288,67665.19570648945
1578,160944.68570391557
102,190663.68588894242
2831,148061.9111862373
1030,152476.55336257129
2551,143733.85383722058
1286,158586.24090292898
958,311680.0406654855
776,128150.03397343779
72,238948.97555315093
2263,269322.6715419276
1866,159345.06963533006
2876,74084.2188196959
2146,233001.40634724434
103,174684.8063872979
1500,133611.19911608592
492,168159.7433776829
167,149097.08128837892
2597,120112.82159368414
2685,120352.73085114057
1035,150070.76689452174
1220,54604.74039510303
2602,157270.4739071008
2159,216619.88384038658
695,144468.9267730621
1109,269446.89311069844
640,172102.432478486
1652,151323.52978416358
2090,155467.50547106794
1188,177641.28429506102
2345,231319.14385515937
1059,368237.53257696464
2751,234150.60314111903
128,191461.30645841124
1523,185185.07515255717
2925,183392.80009053662
2145,279964.5563269267
1121,219088.89832966134
566,241116.1288500901
565,257467.4707630697
1331,138421.1019510977
2928,118459.66639748302
156,141369.54883707297
797,146969.15118151606
327,100966.42600346069
2859,150908.52565730107
1453,111233.39475069402
1762,337063.8236388543
1868,207097.23881454862
1760,183969.93147694384
1113,242887.9552166452
1812,197507.044221497
117,154020.45843460417
1142,208661.3321851603
2342,374475.3456968237
927,161018.94027162
2478,181095.14186664324
655,89392.93104465136
2064,128028.14115971944
369,299683.4163361117
2239,129262.7393210708
2732,219703.5920027818
1653,168575.33996445392
959,222664.61346285482
2395,347753.11445687077
1412,99879.5344371766
271,251464.39649900811
1484,164843.26930437837
1497,163766.4324099077
552,139843.28478727417
2,124020.14485610485
1855,283041.4309354221
4,254851.79392329993
2292,158339.76216578973
134,146237.3293663723
646,107433.92122897669
42,312973.5922649716
532,220854.23251967097
713,102189.21075504541
2561,140686.5127854387
2360,143540.94444704978
1333,120977.70047005916
1407,220362.4379038736
2892,292136.6975958512
574,208673.290269116
1227,188225.43123350284
2591,181794.1533635916
1476,215336.38174209688
1125,262046.236641108
1446,144590.41518567668
408,126962.05795887808
1101,299652.0633728563
2251,218191.39817902667
373,190102.95634854244
2554,140748.8055258347
2382,273160.45945103886
1985,101187.62211516719
519,245872.2698561434
1093,195999.79040451697
864,247541.96990231454
2889,139987.52229517512
2308,188938.42280024706
986,160916.35829303265
1302,143212.6920654659
585,158176.22338541222
2708,139755.8766565401
147,136807.77459309297
1441,226769.91963660705
383,209363.59763527729
285,170425.2804747462
181,106717.85849157239
358,199574.44391969658
780,175339.17926595063
258,193946.20821907534
1865,215612.43486604549
692,102581.16046097715
2902,305359.7437027296
508,250916.48639608588
2638,137734.37182550435
36,144248.67186374596
611,168327.903251161
2281,164755.64632134457
1678,121203.51924569154
1696,396764.9743866156
1557,70016.81376144502
2180,167175.84843053215
1726,243814.11419658165
951,147774.5542943429
267,226573.75012235937
2706,137583.47718218056
2221,254853.5384970726
1357,154250.36441514918
2901,297764.12458590383
347,169571.5469739179
2164,192454.22548473268
1586,301926.6360243142
360,160535.2608091464
1769,261224.16772153074
2617,166434.18374891457
1879,146779.3141817686
991,215066.6546485261
1535,128720.9905348453
1191,143037.74515319438
1579,237827.96214531828
1882,103606.82734303137
1510,138395.819913163
2196,158134.79459210052
1845,181724.192410341
2336,379749.60286812996
942,95836.9325041599
861,128420.05536081767
2555,122445.80322938962
1392,173884.41932946147
2099,266985.40255181864
1543,118148.96923259052
948,255369.41270415683
1239,172396.01629994187
22,192253.18004890528
2796,229633.7629099174
2747,186098.92837983568
92,294576.6882780944
210,174842.96155013176
1858,190315.0791743325
2228,137955.3283551088
447,246794.09604810644
827,246935.51732499135
1649,216169.47252826224
682,135132.25489706694
2698,117133.85804853289
494,165181.36754595384
214,86620.16721165672
2441,233989.15865812427
2679,110666.89683359445
1336,127990.1589669128
465,192340.3547499436
1524,144542.61368490415
2543,116110.01318010694
631,144065.54408763789
2452,317297.4128120627
228,170160.0941900571
126,177310.8871056349
1092,251035.36414662865
1122,212058.218497548
932,226988.04040062038
1980,76328.95594642106
2171,135456.58607357336
551,164128.28367871494
2768,172325.9201225013
2056,114446.38731133574
1159,335506.7265568642
2645,126393.97784814428
1174,170259.51680064804
2266,215432.23273462342
2462,331083.51207677694
1219,147093.81921929648
2922,171534.21416986245
118,156197.82836752394
474,176348.05601736187
2576,149295.06311052418
872,265630.4542758463
1077,231785.77098112632
1536,156722.46493562433
1150,130497.28594508767
2341,323261.3261619583
1931,150857.59420274582
2785,135829.47037815928
2538,131049.65446837546
597,201216.8575635344
464,203980.34758295587
233,200356.73952644385
2169,141566.66567098824
2123,182130.8537164536
1867,175925.5822100865
137,245248.68364741694
515,235755.30572532763
933,103400.34479786114
2784,158765.75977052312
972,168086.78550135708
599,174591.9664845025
2614,132325.17093559267
2582,142323.03511685878
1409,178803.7996915472
175,109141.91057594275
352,235600.2876366122
976,101837.85656399767
2134,197326.12561337822
984,111630.64354368644
2396,330653.34917875705
1673,140399.2968982995
404,111380.40259407758
607,181089.40406409648
814,160441.66154695462
868,186567.3043068361
2271,204212.73544351326
1633,240815.86698131484
337,170173.0995913528
2765,188503.90458546567
1746,229756.84937132322
368,334564.93016622646
2806,204417.84329721637
1662,186089.02534877684
1234,225871.19281818744
1373,130350.41761410634
1672,110547.43496860846
1939,131488.86439101252
